Customer_ID,Customer_Name,Age,Gender,City,State,Country,Account_Open_Date,KYC_Status
CUST0001,Customer_1,23,Male,Trichy,Tamil Nadu,India,2022-02-27,Verified
CUST0002,Customer_2,30,Male,Nagpur,Maharashtra,India,2022-02-17,Rejected
CUST0003,Customer_3,59,Male,Madurai,Tamil Nadu,India,2020-05-14,Verified
CUST0004,Customer_4,35,Female,Madurai,Tamil Nadu,India,2019-04-22,Rejected
CUST0005,Customer_5,57,Female,Chennai,Tamil Nadu,India,2019-02-12,Pending
CUST0006,Customer_6,50,Male,Nagpur,Maharashtra,India,2021-04-21,Verified
CUST0007,Customer_7,49,Male,Mumbai,Maharashtra,India,2019-11-28,Verified
CUST0008,Customer_8,43,Male,Pune,Maharashtra,India,2018-07-29,Pending
CUST0009,Customer_9,44,Male,Trichy,Tamil Nadu,India,2022-10-02,Rejected
CUST0010,Customer_10,24,Male,Delhi,Delhi,India,2022-02-03,Rejected
CUST0011,Customer_11,46,Female,Trichy,Tamil Nadu,India,2018-06-11,Verified
CUST0012,Customer_12,45,Female,Bhopal,Madhya Pradesh,India,2021-03-28,Verified
CUST0013,Customer_13,64,Male,Coimbatore,Tamil Nadu,India,2019-04-12,Verified
CUST0014,Customer_14,28,Male,Nagpur,Maharashtra,India,2020-02-18,Pending
CUST0015,Customer_15,32,Male,Bengaluru,Karnataka,India,2020-01-29,Verified
CUST0016,Customer_16,65,Male,Delhi,Delhi,India,2021-08-20,Rejected
CUST0017,Customer_17,56,Female,Mumbai,Maharashtra,India,2022-02-02,Verified
CUST0018,Customer_18,46,Female,Kolkata,West Bengal,India,2019-07-07,Verified
CUST0019,Customer_19,25,Male,Lucknow,Uttar Pradesh,India,2019-04-15,Verified
CUST0020,Customer_20,39,Female,Mysuru,Karnataka,India,2018-05-16,Rejected
CUST0021,Customer_21,35,Male,Lucknow,Uttar Pradesh,India,2021-09-04,Pending
CUST0022,Customer_22,31,Female,Kolkata,West Bengal,India,2019-06-27,Verified
CUST0023,Customer_23,56,Female,Jaipur,Rajasthan,India,2019-06-23,Pending
CUST0024,Customer_24,47,Female,Chandigarh,Punjab,India,2020-01-12,Verified
CUST0025,Customer_25,53,Male,Surat,Gujarat,India,2018-07-06,Verified
CUST0026,Customer_26,62,Male,Salem,Tamil Nadu,India,2018-11-24,Rejected
CUST0027,Customer_27,46,Female,Madurai,Tamil Nadu,India,2020-02-21,Pending
CUST0028,Customer_28,38,Male,Surat,Gujarat,India,2021-02-07,Verified
CUST0029,Customer_29,39,Male,Jaipur,Rajasthan,India,2022-04-24,Verified
CUST0030,Customer_30,49,Male,Noida,Uttar Pradesh,India,2018-11-20,Verified
CUST0031,Customer_31,54,Female,Delhi,Delhi,India,2022-04-10,Rejected
CUST0032,Customer_32,62,Female,Trichy,Tamil Nadu,India,2019-09-04,Rejected
CUST0033,Customer_33,31,Female,Pune,Maharashtra,India,2020-02-05,Rejected
CUST0034,Customer_34,22,Male,Surat,Gujarat,India,2021-05-11,Pending
CUST0035,Customer_35,29,Male,Chennai,Tamil Nadu,India,2020-01-14,Verified
CUST0036,Customer_36,37,Female,Coimbatore,Tamil Nadu,India,2022-12-04,Verified
CUST0037,Customer_37,53,Male,Madurai,Tamil Nadu,India,2022-07-30,Rejected
CUST0038,Customer_38,30,Male,Salem,Tamil Nadu,India,2021-09-13,Rejected
CUST0039,Customer_39,38,Female,Mumbai,Maharashtra,India,2020-12-16,Pending
CUST0040,Customer_40,56,Female,Pune,Maharashtra,India,2022-03-27,Verified
CUST0041,Customer_41,64,Male,Mysuru,Karnataka,India,2021-08-23,Pending
CUST0042,Customer_42,50,Female,Surat,Gujarat,India,2018-09-05,Verified
CUST0043,Customer_43,43,Female,Madurai,Tamil Nadu,India,2018-02-13,Rejected
CUST0044,Customer_44,59,Male,Nagpur,Maharashtra,India,2019-03-28,Verified
CUST0045,Customer_45,36,Male,Coimbatore,Tamil Nadu,India,2018-05-19,Verified
CUST0046,Customer_46,54,Male,Madurai,Tamil Nadu,India,2019-05-03,Pending
CUST0047,Customer_47,56,Female,Pune,Maharashtra,India,2018-09-28,Rejected
CUST0048,Customer_48,37,Male,Ahmedabad,Gujarat,India,2022-05-26,Pending
CUST0049,Customer_49,28,Male,Pune,Maharashtra,India,2018-07-18,Verified
CUST0050,Customer_50,48,Male,Hyderabad,Telangana,India,2020-08-14,Verified
CUST0051,Customer_51,47,Male,Coimbatore,Tamil Nadu,India,2022-01-31,Verified
CUST0052,Customer_52,34,Female,Nagpur,Maharashtra,India,2019-01-25,Pending
CUST0053,Customer_53,49,Male,Salem,Tamil Nadu,India,2019-01-11,Pending
CUST0054,Customer_54,26,Female,Nagpur,Maharashtra,India,2020-06-26,Verified
CUST0055,Customer_55,63,Male,Coimbatore,Tamil Nadu,India,2021-01-12,Verified
CUST0056,Customer_56,32,Male,Nagpur,Maharashtra,India,2020-04-12,Pending
CUST0057,Customer_57,47,Female,Pune,Maharashtra,India,2018-05-01,Pending
CUST0058,Customer_58,46,Male,Chennai,Tamil Nadu,India,2019-06-28,Verified
CUST0059,Customer_59,57,Male,Hyderabad,Telangana,India,2021-09-17,Verified
CUST0060,Customer_60,40,Male,Pune,Maharashtra,India,2019-03-22,Rejected
CUST0061,Customer_61,25,Male,Jaipur,Rajasthan,India,2022-03-12,Verified
